Component,Dataset,Size,Storage,Emotion Classes,MVP,Download Ease,Training Time/Epoch,Accuracy (Reported),Why for MindMate
Speech Emotion,RAVDESS,"1,440 files",3-5 GB,8,✅ YES,⭐⭐⭐ Easy,15-20 min,97%+,"High quality, intensity levels"
Speech Emotion,CREMA-D,"7,442 files",5-8 GB,6,✅ YES,⭐⭐⭐ Easy,30-60 min,95.1%+,Age diversity (20-74)
Speech Emotion,TESS,"2,800 files",1-2 GB,7,⚠️ Optional,⭐⭐⭐ Easy,10-15 min,100%,"Small, quick prototype"
Speech Emotion,EMO-DB,535 files,200 MB,7,❌ No,⭐⭐⭐ Easy,5 min,95%+,Multilingual diversity
Facial Emotion,RAF-DB,"29,672 img",5-8 GB,7,✅ YES,⭐⭐ Medium,60-90 min,46% transfer,"In-the-wild, realistic"
Facial Emotion,FER-2013,"35,887 img",500 MB,7,✅ YES (quick),⭐⭐⭐ Very Easy,30-45 min,66-70%,"Fastest download, 48x48"
Facial Emotion,AffectNet,1.2M img,100-150 GB,8,❌ Too big,⭐ Hard (need auth),120+ min,60.6% transfer,Largest but overkill
Facial Emotion,CelebA,202K img,2-3 GB,40 attributes,❌ Too big,⭐⭐⭐ Easy,90-120 min,95%+ attr,"Rich attributes, not needed"
Gaze/Head Pose,MPIIGaze,"213,659 img",2-3 GB,N/A (gaze),✅ YES,⭐⭐ Research auth,N/A,4.8° error,Detect look-away signs
Gaze/Head Pose,MPIIFaceGaze,~100K img,1-2 GB,N/A (gaze),✅ YES,⭐⭐ Research auth,N/A,4.8° error,Face landmarks + gaze
Text Sentiment,MELD,"13,708 utt",2-3 GB,7+sentiment,✅ YES,⭐⭐⭐ Easy,20-30 min,75%+ baseline,"Natural dialogue, sentiment"
Text Sentiment,DailyDialog,102K utt,300 MB,7+act,✅ YES,⭐⭐⭐ Easy,15-20 min,~80%,Balanced daily convo
Text Sentiment,GO Emotions,"27,662 samples",200 MB,27 fine-grained,❌ No,⭐⭐⭐ Easy,10 min,58% F1,Too granular for MVP
Multimodal Fusion,IEMOCAP Text,"7,311 utt",50 MB,6,✅ YES,With RAVDESS,20 min,70-80%,Aligned with audio
Multimodal Fusion,CMU-MOSEI,"23,453 clips",20-30 GB,Sentiment scale,❌ Too big,⭐ Hard,120+ min,Varies,"Too large, skip for MVP"
